order_id,customer_id,order_date,product,category,price,quantity,total_amount,is_quantity_invalid
1,C017,2025-04-23,Sofa,Furniture,5981.103022475031,4,23924.412089900125,False
2,C074,2025-05-03,Necklace,Accessories,9951.19287631457,2,19902.38575262914,False
3,C042,2026-01-23,Sofa,Furniture,2890.408620498141,2,5780.817240996282,False
4,C016,2025-09-14,Ring,Accessories,,0,,True
5,C028,2025-09-16,Notebook,Office,4233.558445070444,5,21167.79222535222,False
6,C040,2026-01-16,Necklace,Accessories,,3,,False
7,C028,2025-05-26,Bed,Furniture,84.63776549763249,4,338.55106199052994,False
8,C056,2025-12-10,Bed,Furniture,866.5542003366112,5,4332.771001683056,False
9,C013,2025-08-23,Notebook,Office,9504.861385840006,4,38019.44554336002,False
10,C027,2025-06-19,KeyBoard,Electronics,2348.4241437905785,1,2348.4241437905785,False
11,C066,2025-03-25,Bed,Furniture,6663.036975840358,2,-13326.073951680715,False
12,C076,2025-11-27,Mouse,Electronics,6020.306884890369,3,18060.920654671107,False
13,C066,2025-12-29,Necklace,Accessories,1220.8749992158405,4,4883.499996863362,False
14,C066,2025-12-13,KeyBoard,Electronics,6973.689116116032,3,20921.067348348097,False
15,C075,2025-08-31,Mouse,Electronics,6843.165260889178,5,34215.82630444589,False
16,C076,2026-01-19,Ring,Accessories,1794.192450652518,1,1794.192450652518,False
17,C063,2025-09-03,Vacuum,Electronics,6561.716210026163,1,-6561.716210026163,False
18,C073,2025-09-17,Ring,Accessories,473.0741725596424,3,1419.2225176789273,False
19,C030,2025-12-18,KeyBoard,Electronics,2733.869053250489,5,13669.345266252443,False
20,C058,2025-12-07,Bed,Furniture,3294.499032342041,2,6588.998064684082,False
21,C061,2025-03-27,KeyBoard,Electronics,4978.330883990664,2,9956.661767981328,False
22,C098,2025-06-25,Vacuum,Electronics,6773.461562015056,5,33867.30781007528,False
23,C024,2025-02-28,Vacuum,Electronics,3904.8329038022443,3,11714.498711406733,False
24,C081,2026-02-16,Computer,Electronics,5920.54117270089,2,11841.08234540178,False
25,C051,2025-03-26,Necklace,Accessories,334.67966049535045,2,669.3593209907009,False
26,C041,2025-05-10,KeyBoard,Electronics,8625.166482735034,5,43125.83241367517,False
27,C047,2025-08-15,Sofa,Furniture,8526.98302523727,5,42634.91512618635,False
28,C021,2025-10-10,Computer,Electronics,8820.162877382028,1,8820.162877382028,False
29,C072,2026-02-02,Notebook,Office,9475.997740242721,0,0.0,True
30,C099,2025-04-02,Computer,Electronics,3599.334653592942,4,14397.338614371767,False
31,C060,2025-12-31,Sofa,Furniture,2217.6327147125635,1,2217.6327147125635,False
32,C025,2025-07-31,Notebook,Office,7762.9076874297625,4,31051.63074971905,False
33,C046,2025-06-13,Bed,Furniture,81.428606201122,5,407.14303100560994,False
34,C025,2025-08-23,Computer,Electronics,3103.465073114574,5,15517.32536557287,False
35,C052,2025-06-17,Mouse,Electronics,5285.698864656361,0,0.0,True
36,C094,2025-11-22,Mouse,Electronics,5761.57782065841,2,11523.15564131682,False
37,C073,2025-03-07,Necklace,Accessories,1898.4786797644763,0,0.0,True
38,C057,2025-06-08,Vacuum,Electronics,5926.66245019246,4,23706.64980076984,False
39,C015,2025-09-21,Bed,Furniture,4178.237437620903,1,4178.237437620903,False
40,C003,2025-09-01,Bed,Furniture,4416.836402204683,0,0.0,True
41,C029,2025-09-19,Sofa,Furniture,7001.429669784717,5,35007.14834892358,False
42,C028,2025-04-21,Sofa,Furniture,9244.202882597063,4,36976.81153038825,False
43,C032,2025-08-06,Computer,Electronics,1728.0147979984067,2,3456.0295959968134,False
44,C046,2026-01-09,Bed,Furniture,9551.839633030795,0,0.0,True
45,C079,2025-09-07,Computer,Electronics,3451.4037458585894,2,6902.807491717179,False
46,C050,2025-08-20,Notebook,Office,6337.81378382784,4,25351.25513531136,False
47,C058,2025-11-14,Bed,Furniture,8761.518847901274,0,0.0,True
48,C034,2025-03-05,Mouse,Electronics,7706.596881905297,1,7706.596881905297,False
49,C069,2026-02-07,KeyBoard,Electronics,941.2888075428868,5,4706.444037714435,False
50,C079,2026-01-26,Necklace,Accessories,1559.7006899586938,2,3119.4013799173877,False
51,C029,2025-03-02,Sofa,Furniture,358.13621942467535,0,0.0,True
52,C093,2025-12-17,Notebook,Office,7952.237417001021,3,23856.71225100306,False
53,C020,2025-07-22,Computer,Electronics,2463.7715513299127,3,7391.314653989738,False
54,C044,2025-05-17,KeyBoard,Electronics,4645.504300899011,0,0.0,True
55,C078,2025-07-26,Computer,Electronics,321.73241695688324,4,1286.929667827533,False
56,C092,2025-06-06,Mouse,Electronics,5619.773289906386,1,5619.773289906386,False
57,C093,2025-04-30,Notebook,Office,541.5537043089681,3,1624.6611129269045,False
58,C092,2025-09-22,Sofa,Furniture,8729.555761920557,1,8729.555761920557,False
59,C038,2025-08-10,Bed,Furniture,2407.5142692339336,2,4815.028538467867,False
60,C081,2025-05-01,Vacuum,Electronics,,1,,False
61,C035,2025-11-22,Computer,Electronics,5760.634458342424,3,17281.903375027272,False
62,C052,2025-10-15,Vacuum,Electronics,6205.308475191851,3,18615.925425575555,False
63,C060,2025-09-23,Sofa,Furniture,3231.92505112033,2,6463.85010224066,False
64,C089,2025-05-10,Vacuum,Electronics,9137.459234610433,4,36549.83693844173,False
65,C013,2025-11-24,Vacuum,Electronics,8980.8110206811,5,44904.055103405495,False
66,C073,2025-12-26,Sofa,Furniture,7404.303640703548,1,7404.303640703548,False
67,C021,2025-05-30,Vacuum,Electronics,3228.8974576351256,3,9686.692372905378,False
68,C091,2025-07-12,Bed,Furniture,3498.917583925842,5,17494.587919629208,False
69,C080,2026-02-04,Bed,Furniture,3324.507187953001,2,6649.014375906002,False
70,C037,2025-12-27,Notebook,Office,2388.246576404593,3,7164.739729213778,False
71,C079,2025-06-25,Ring,Accessories,3311.667759273967,1,3311.667759273967,False
72,C055,2025-06-09,Notebook,Office,6363.07853907957,1,6363.07853907957,False
73,C034,2025-04-13,Computer,Electronics,5773.020032543927,1,5773.020032543927,False
74,C084,2025-09-05,Vacuum,Electronics,5849.3278642160885,2,-11698.655728432177,False
75,C098,2025-11-11,Notebook,Office,3067.075904435369,2,6134.151808870738,False
76,C091,2025-05-16,Vacuum,Electronics,,1,,False
77,C057,2025-05-14,Ring,Accessories,4684.689422624112,4,18738.757690496448,False
78,C082,2026-01-14,Computer,Electronics,8024.096418344235,2,16048.19283668847,False
79,C016,2025-11-23,Mouse,Electronics,8877.9565499476,2,17755.9130998952,False
80,C036,2026-02-25,Ring,Accessories,,4,,False
81,C054,2026-01-14,Notebook,Office,3882.411059253886,1,3882.411059253886,False
82,C093,2025-06-12,Mouse,Electronics,9352.899612023491,2,18705.799224046983,False
83,C001,2025-04-21,Ring,Accessories,6644.891880312333,1,6644.891880312333,False
84,C089,2025-11-16,Bed,Furniture,5224.81587177564,3,15674.447615326919,False
85,C097,2025-09-30,Sofa,Furniture,5294.527447148881,4,-21178.109788595524,False
86,C048,2025-05-19,Necklace,Accessories,8731.165034704843,4,34924.660138819374,False
87,C086,2025-09-21,Vacuum,Electronics,4028.9496441399415,3,12086.848932419824,False
88,C036,2025-12-13,KeyBoard,Electronics,3343.6224261985176,2,6687.244852397035,False
89,C066,2025-11-10,Notebook,Office,8986.87492225831,3,26960.62476677493,False
90,C095,2026-01-31,Bed,Furniture,4486.019874733646,4,17944.079498934585,False
91,C035,2025-10-16,Mouse,Electronics,1410.2550217543926,3,4230.765065263178,False
92,C042,2025-06-06,Computer,Electronics,,1,,False
93,C023,2025-11-17,Necklace,Accessories,7761.427297739737,0,0.0,True
94,C020,2025-08-18,Sofa,Furniture,2750.9907287437536,0,0.0,True
95,C016,2025-04-16,Ring,Accessories,2458.2566892004957,5,12291.283446002479,False
96,C086,2025-10-23,Computer,Electronics,7127.716325508084,5,35638.58162754042,False
97,C073,2025-04-27,Necklace,Accessories,2826.275426063382,4,11305.101704253528,False
98,C008,2025-04-28,Necklace,Accessories,9996.232685277502,3,29988.69805583251,False
99,C075,2025-10-03,Necklace,Accessories,,4,,False
100,C039,2025-06-28,Sofa,Furniture,397.33170349786064,5,1986.6585174893032,False
101,C058,2025-08-31,Notebook,Office,603.7703136903331,2,1207.5406273806661,False
102,C006,2025-08-23,Ring,Accessories,8948.204035676426,3,26844.61210702928,False
103,C074,2025-05-03,Vacuum,Electronics,4110.658293720179,1,4110.658293720179,False
