order_id,customer_id,order_date,product,category,price,quantity,total_amount
1,C060,2025-04-26,Mouse,Electronics,4254.777190601725,3,12764.331571805174
2,C069,2025-03-04,Computer,Electronics,8304.79352334035,5,41523.967616701746
3,C070,2025-10-27,Notebook,Office,5150.571349978396,4,20602.285399913584
4,C007,2025-08-26,KeyBoard,Electronics,2009.2045624975144,4,8036.818249990058
5,C076,2025-06-19,Computer,Electronics,6636.029620525704,2,13272.059241051407
6,C076,2025-12-03,KeyBoard,Electronics,1762.4778388121176,5,8812.389194060588
7,C018,2025-09-20,Computer,Electronics,9436.00836757627,1,9436.00836757627
8,C004,2025-05-07,Necklace,Accessories,7562.210662285883,4,30248.84264914353
9,C098,2025-07-29,Mouse,Electronics,1334.4719210123487,1,1334.4719210123487
10,C089,2025-12-27,Bed,Furniture,9566.097001636088,2,19132.194003272176
11,C052,2026-02-23,Ring,Accessories,5076.284383537978,5,25381.42191768989
12,C015,2025-09-30,Ring,Accessories,4636.7164357425745,3,13910.149307227723
13,C021,2025-04-22,Ring,Accessories,8208.7142433893,0,0.0
14,C044,2025-09-16,Bed,Furniture,68.83486780417348,4,275.33947121669394
15,C026,2025-09-11,Computer,Electronics,4123.25004988705,3,12369.750149661151
16,C034,2025-05-30,Computer,Electronics,1894.3201198195518,4,7577.280479278207
17,C030,2025-06-11,Sofa,Furniture,4693.320996046775,2,9386.64199209355
18,C044,2026-02-25,Ring,Accessories,,5,
19,C031,2025-08-31,Necklace,Accessories,4894.096043750394,3,14682.288131251182
20,C100,2025-09-21,Computer,Electronics,516.0294601966533,0,0.0
21,C027,2026-02-16,Mouse,Electronics,3149.432042400299,3,9448.296127200898
22,C050,2025-03-03,Computer,Electronics,8719.351091323018,1,8719.351091323018
23,C083,2025-04-10,Vacuum,Electronics,3233.7894659131307,4,12935.157863652523
24,C086,2025-08-09,Necklace,Accessories,1454.5928546042232,4,5818.371418416893
25,C062,2025-11-09,KeyBoard,Electronics,8376.072954877387,5,41880.36477438694
26,C085,2025-03-03,Mouse,Electronics,1517.0966469813045,1,1517.0966469813045
27,C022,2025-06-27,Vacuum,Electronics,,5,
28,C026,2026-01-20,Vacuum,Electronics,,1,
29,C034,2025-06-15,KeyBoard,Electronics,6054.4393475276065,5,30272.196737638034
30,C019,2026-01-12,Vacuum,Electronics,2382.2845758145945,0,0.0
31,C046,2025-07-27,Sofa,Furniture,7704.412932366322,5,38522.06466183161
32,C029,2025-11-06,KeyBoard,Electronics,,4,
33,C012,2025-07-18,Computer,Electronics,9592.129189381068,2,19184.258378762137
34,C061,2025-04-19,Necklace,Accessories,2149.0357386914466,3,6447.10721607434
35,C100,2025-09-15,Sofa,Furniture,5964.442413432124,5,29822.21206716062
36,C013,2026-01-04,Sofa,Furniture,8143.3275170888255,2,16286.655034177651
37,C047,2025-09-12,KeyBoard,Electronics,4944.109058974991,4,19776.436235899964
38,C006,2025-08-26,Vacuum,Electronics,6632.62845929625,4,26530.513837185
39,C088,2025-12-23,Vacuum,Electronics,4496.499138414014,3,13489.497415242042
40,C080,2025-08-07,Vacuum,Electronics,8118.244603340108,1,8118.244603340108
41,C090,2025-09-29,Ring,Accessories,8115.775275130588,3,-24347.325825391763
42,C044,2026-01-19,Computer,Electronics,4365.497156653353,1,4365.497156653353
43,C094,2025-10-11,Necklace,Accessories,4768.486033265496,4,19073.944133061985
44,C067,2025-03-09,Ring,Accessories,1912.546827774985,4,7650.18731109994
45,C030,2026-01-17,Notebook,Office,,4,
46,C092,2025-03-17,Vacuum,Electronics,1052.5176719970855,3,3157.5530159912564
47,C030,2025-09-30,Bed,Furniture,7868.802702513912,1,7868.802702513912
48,C006,2025-10-01,Computer,Electronics,9683.767637566103,1,9683.767637566103
49,C092,2026-01-26,Mouse,Electronics,8949.488238642352,2,17898.976477284705
50,C030,2025-12-10,Ring,Accessories,1683.2373848630402,0,0.0
51,C052,2026-02-07,Notebook,Office,,1,
52,C041,2025-05-06,Vacuum,Electronics,6812.027435033388,3,20436.082305100164
53,C024,2025-08-08,Computer,Electronics,8379.753608711677,1,8379.753608711677
54,C092,2026-02-11,Bed,Furniture,9094.424460323342,5,45472.122301616706
55,C010,2025-10-08,Sofa,Furniture,724.6646049942838,2,1449.3292099885675
56,C021,2025-08-27,Notebook,Office,1620.0814288479628,0,0.0
