order_id,customer_id,order_date,product,category,price,quantity,total_amount
1,C021,2025-06-23,Bed,Furniture,5015.3794540514755,4,20061.517816205902
2,C080,2025-07-12,Notebook,Office,7905.16142958032,1,7905.16142958032
3,C024,2025-05-01,KeyBoard,Electronics,5807.068923934496,4,23228.275695737982
4,C028,2025-07-17,Ring,Accessories,2818.5793631450756,1,2818.5793631450756
5,C070,2026-01-13,Bed,Furniture,5526.19512942165,2,11052.3902588433
6,C031,2025-09-20,KeyBoard,Electronics,1967.4725257565262,3,5902.417577269579
7,C066,2025-07-29,Vacuum,Electronics,9494.955596276763,1,9494.955596276763
8,C025,2025-07-23,Sofa,Furniture,4409.3578951042555,2,8818.715790208511
9,C058,2025-06-24,Necklace,Accessories,2893.0151079310185,4,11572.060431724074
10,C069,2025-07-13,Necklace,Accessories,9733.086498291745,1,9733.086498291745
11,C081,2026-02-25,Mouse,Electronics,4042.4211377391107,0,0.0
12,C040,2025-11-15,Ring,Accessories,4665.723898698295,5,-23328.619493491475
13,C096,2025-08-13,Ring,Accessories,9189.380785116524,0,0.0
14,C080,2025-05-23,Vacuum,Electronics,4291.892270085259,0,0.0
15,C093,2025-03-09,Notebook,Office,7768.798366720685,1,7768.798366720685
16,C041,2026-01-14,Computer,Electronics,4155.613767374379,1,4155.613767374379
17,C074,2025-07-28,Vacuum,Electronics,1403.3790533611575,5,7016.895266805787
18,C042,2026-02-06,Necklace,Accessories,2302.3716749812043,3,6907.115024943612
19,C004,2025-04-03,Bed,Furniture,8319.300856243713,4,33277.203424974854
20,C045,2025-05-02,Sofa,Furniture,999.2792036147813,0,0.0
21,C085,2026-02-14,Sofa,Furniture,7530.867874914819,4,30123.471499659277
22,C045,2026-01-26,Computer,Electronics,6850.392018279079,1,6850.392018279079
23,C027,2025-10-24,Necklace,Accessories,9676.981623238098,5,48384.90811619049
24,C023,2025-03-11,Vacuum,Electronics,5582.380710981025,3,16747.142132943074
25,C035,2025-10-05,Necklace,Accessories,8016.274229879631,0,0.0
26,C019,2025-04-11,Sofa,Furniture,1057.0757561378537,3,3171.227268413561
27,C025,2025-08-03,Ring,Accessories,2407.605863577253,5,12038.029317886265
28,C019,2025-06-16,Vacuum,Electronics,4445.10022503929,4,17780.40090015716
29,C043,2026-01-23,Vacuum,Electronics,6765.207399231553,3,20295.622197694658
30,C090,2026-01-10,Necklace,Accessories,7635.403834429931,2,15270.807668859861
31,C052,2025-06-22,KeyBoard,Electronics,6935.746564263841,4,27742.986257055363
32,C074,2026-01-16,Mouse,Electronics,2173.9210184539393,5,-10869.605092269696
33,C041,2025-04-16,Sofa,Furniture,7404.779947062076,4,29619.119788248303
34,C068,2025-09-05,Sofa,Furniture,1485.2709290069859,1,1485.2709290069859
35,C046,2025-07-06,KeyBoard,Electronics,6334.556238204039,2,12669.112476408078
36,C016,2025-07-12,Necklace,Accessories,6393.908264583406,1,6393.908264583406
37,C060,2025-12-19,Sofa,Furniture,7617.119278261286,0,0.0
38,C038,2025-10-30,Computer,Electronics,7286.975594913691,3,21860.926784741074
